location
Aarubari
Tarkhagal
Simaltar Gumba
Kailash Bodhi School
Ramhiti
Mahankal
Pani Tankey
Chuchepati
Chabhahil Chowk
Mitra Park
Jaya Bageswori
Gausala Chowk
Ratopul
Gyaneshwor
Maitidevi
Dillibazar
Charkhal
Putalisadak
Bagbazar
Ratnapark
Purano Buspark
Bhrikutimandap
Bhadrakali Mandir
Sahid Gate
Sundhara
NAC Bus Stop
Anantalingeshwar
Machha Pokhari
Gamcha Chowk
"Naya Thimi, Micro Stand"
"Chardobato, Naya Thimi"
Gaththaghar
Kausaltar
Lokanthali
Jadibuti
Koteshwor
Kuleshwor Tinkune
Shantinagar
Minbhawan
Naya Baneshwor
Buddhanagar
Babarmahal
Maitighar
Singhadurbar
New Plaza
Putalisadak
Bagbazar
Ratnapark
Balaju Chowk
"Bhatbhateni, Koteshwor"
Naya Buspark
Gongabu Chowk
Samakhusi
Basundhara Chauki
Basundhara
Narayan Gopal Chowk
Chappal Karkhana
Dhumbarahi
Sukedhara Chowk
Gopi Krishna Hall
Chabhahil Chowk
Mitra Park
Jaya Bageswori
Gausala Chowk
"Pingalstan, Gausala"
Tilganga
Tribhuvan International Airport
Sinamangal
Koteshwor
Jadibuti
Lokanthali
Kausaltar
Gaththaghar
"Chardobato, Naya Thimi"
"Naya Thimi, Bus Stand"
"Radhe Radhe, Bhaktapur"
Srijana Nagar
"Sallaghari, Suryabinayak"
Chundevi
Suryabinayak
"Jagati, Bhaktapur"
Chyamasingh
Kamalbinayak
Balkumari
Bode
Koteshwor
Kuleshwor Tinkune
Shantinagar
Minbhawan
Naya Baneshwor
"Anamnagar Turning, Baneshwor"
"Thapagaun, New Baneshwor"
"Bijulibazar,Anamnagar"
"Hanumansthan, Anamnagar"
Anamnagar
New Plaza
Putalisadak
Kamalpokhari
Jai Nepal Hall
Nagpokhari
"Old house cafe, Narayanchaur"
"ACE Bank, Narayanchaur"
Tamas laya
Gairidhara
Tangal
"Bhat Bhateni, Naxal"
Baluwatar
Kanti Bal Hospital
Teaching Hospital
Narayan Gopal Chowk
Chappal Karkhana
Dhumbarahi
Sukedhara Chowk
Gopi Krishna Hall
"Chardobaato, Bode"
Chapali
APF Camp
"Manohara Bridge, Bode"
Mulpani Pipalbot
"Baba Chowk, Mulpani"
"Milan Chowk, Mulpani"
"Tiwari Tol, Mulpani"
Mulpani Turning
Dakshindhoka
Narayantar
Jorpati
Chamunda Gate
"Urab Bank, Jorpati"
Boudha Pipalbot
Boudha Gate
"Tusal, Boudha"
Chuchepati
Chabhahil Chowk
Gopi Krishna Hall
Sukedhara Chowk
Dhumbarahi
Chappal Karkhana
Narayan Gopal Chowk
Teaching Hospital
"Budhanilkantha, Narayanthan"
Chapali
"Chandranagar Chowk, HattiGauda"
Hattigauda
Galfutar
Bansbari
Narayan Gopal Chowk
Teaching Hospital
Kanti Bal Hospital
Paani Pokhari
Lazimpat
Lazimpat Chowk
Lainchaur Chowk
Keshar Mahal
Kantipath
Jamal
Kamaladi
Ghantaghar
Ratnapark
Purano Buspark
Bhrikutimandap
Bhadrakali Mandir
Sahid Gate
Sundhara
Tripureshwor
Thapathali
Kupondole
"Kandewatathan, Kupondole"
"Jwagal, Kupondole"
Pulchowk College
"Harihar bhawan, Pulchowk"
Pulchowk
Alka Hospital
"Jawalakhel, Ekantakuna"
Jawalakhel
Manbhawan
Kumaripati
Patan Hospital
Lagankhel
"Budhanilkantha, Narayanthan"
Shree Changunarayan High Schoo
"Chandranagar Chowk, HattiGauda"
Hattigauda
Galfutar
Bansbari
Narayan Gopal Chowk
Teaching Hospital
Kanti Bal Hospital
Paani Pokhari
Lazimpat
Lazimpat Chowk
Lainchaur Chowk
Keshar Mahal
Kantipath
Jamal
Kamaladi
Ghantaghar
Ratnapark
Purano Buspark
Bhrikutimandap
Bhadrakali Mandir
Sahid Gate
Sundhara
NAC Bus Stop
Changunarayan Bus Park
Nyacho Pauwa
"Mahankal Chowk, Duwakot"
"Tripura Sundari Devithan, Duwakot"
"KMC Hospital, Duwakot"
"Sallaghari, Purano Thimi"
"Sallaghari, Byasi"
"Sallaghari, Suryabinayak"
Srijana Nagar
"Radhe Radhe, Bhaktapur"
"Naya Thimi, Bus Stand"
"Chardobato, Naya Thimi"
Gaththaghar
Kausaltar
Lokanthali
Jadibuti
Koteshwor
Kuleshwor Tinkune
Shantinagar
Minbhawan
Naya Baneshwor
Buddhanagar
Babarmahal
Maitighar
Singhadurbar
Bhadrakali Mandir
Sahid Gate
Sundhara
NAC Bus Stop
Bir Hospital
Bhotahiti
Ratnapark
Purano Buspark
Changunarayan Bus Park
"Jagati, Bhaktapur"
Indra Chowk
Ghumti Ghar
Pikhel
Pakune Pati
Khwopa College
Dekocha Changu Stop
Mahakali Bus Stop
Sano Byasi
Thulo Byasi
"Kalopati, Bhaktapur"
"Dudhpati, Bhaktapur"
Siddhapokhari
"Sallaghari, Byasi"
"Sallaghari, Suryabinayak"
Srijana Nagar
"Radhe Radhe, Bhaktapur"
"Naya Thimi, Bus Stand"
"Chardobato, Naya Thimi"
Gaththaghar
Kausaltar
Lokanthali
Jadibuti
Koteshwor
Kuleshwor Tinkune
Shantinagar
Minbhawan
Naya Baneshwor
Buddhanagar
Babarmahal
Maitighar
Singhadurbar
Putalisadak
Bagbazar
Ratnapark
Chyamasingh
"Jagati, Bhaktapur"
Suryabinayak
Chundevi
"Sallaghari, Suryabinayak"
Srijana Nagar
"Radhe Radhe, Bhaktapur"
"Naya Thimi, Bus Stand"
"Chardobato, Naya Thimi"
Gaththaghar
Kausaltar
Lokanthali
Jadibuti
Koteshwor
"Bhatbhateni, Koteshwor"
Balkumari
Gwarko
Satdobato
"Chapagaun Dobato, Satdobato"
"Mahalaxmisthan, Patan"
Thasikhel
"Yatayat, Ekantakuna"
Ekantakuna Chowk
nakkhu
Bagdol
"Dhobighat, Balkhu"
"Nayabato, Balkhu"
Sanepa Height
Sanepa
Balkhu
Balkhu Dakhsinkali Turning
"Sita Petrol Pump, Kalanki"
"Khasibazar, Kalanki"
Kalanki
Chyamasingh
Pharphing
